portfolio_size,run,std_dev,mean_return
9,1,0.13131359764085396,1.0541593979633241
10,1,0.13465890350765022,1.0537071660953499
11,1,0.1468117449844469,1.0593385390001533
12,1,0.14180129362930816,1.0587708633585418
13,1,0.14771545328890384,1.0613787056516837
14,1,0.1404619386313673,1.0609407885917053
15,1,0.13566388449085326,1.061392660416666
16,1,0.13036814561701343,1.0617399873734954
17,1,0.12937347779946207,1.0635867214159986
18,1,0.13203186468103728,1.063847732976768
19,1,0.13004539361605422,1.0630299581607618
20,1,0.13279003167078365,1.0644454196912094
21,1,0.13280903915440526,1.0643243121716341
22,1,0.132977235390798,1.0657680268746244
23,1,0.129776054578062,1.0651275422142552
24,1,0.13278078599248463,1.0671093293681662
25,1,0.13279131922705625,1.068121514311347
26,1,0.1325919011331918,1.0692855978048292
27,1,0.1346273030347964,1.0671266076221975
28,1,0.13434637929661505,1.0654052110112724
29,1,0.1329798492253239,1.0658858707392544
30,1,0.13128636588949313,1.0666104594193515
31,1,0.13473951022070382,1.0676219177321027
32,1,0.13282073006836015,1.0674416943650675
33,1,0.13141350830658297,1.067295336856545
34,1,0.129468260302364,1.0669828016198566
35,1,0.12876206355895983,1.0668840714363466
36,1,0.1268009166544138,1.0671477130973506
37,1,0.12566975489796625,1.0651818782757512
38,1,0.12398447647152223,1.0643977294023144
39,1,0.12443340755217049,1.0641986661176748
40,1,0.1251924345256783,1.0631003159216554
1,2,0.16498779382192746,1.039735991914532
2,2,0.1568098803655086,1.0459090614140667
3,2,0.13898993617735847,1.0547338089867608
4,2,0.13930159529196798,1.0654048668878928
5,2,0.12256064977497211,1.072424424872709
6,2,0.11342295564627919,1.071272908551825
7,2,0.11473317963830547,1.0729393686576438
8,2,0.11998664810611988,1.0686252137994365
9,2,0.12409095713575775,1.0650225012001768
10,2,0.1268956270472442,1.0670512168319708
11,2,0.12988900376034673,1.0696231142224941
12,2,0.12484825430004969,1.0686661150125196
13,2,0.12317403216855817,1.0683104041938118
14,2,0.12166566251156725,1.0687604791205003
15,2,0.12834496630558404,1.0708926667143026
16,2,0.1291412315181265,1.0707620754412193
17,2,0.1258470082864319,1.0708736272945807
18,2,0.12533706893518043,1.0714938978768773
19,2,0.12241953345487304,1.0707112170097315
20,2,0.12189438786606432,1.0703511418781064
21,2,0.12056664189848877,1.068584988612589
22,2,0.12018772144780346,1.0699521584091345
23,2,0.11969535935854925,1.0682668396363373
24,2,0.12113744208170303,1.0670035675493916
25,2,0.11943146644800563,1.0663104520614792
26,2,0.11774676961134194,1.065919993687273
27,2,0.11818201464277137,1.0678071559616036
28,2,0.11863826402947274,1.0683930346033352
29,2,0.11913909095727597,1.0694275290785422
30,2,0.11759977315131138,1.0687087972789944
31,2,0.11790778474231448,1.0702598181235339
32,2,0.11739362465867902,1.0706012895915318
33,2,0.11614649584012025,1.069850115219537
34,2,0.11527052999242537,1.0682755851921073
35,2,0.11637829525039217,1.0675090495745534
36,2,0.1155807628226698,1.0674620583463128
37,2,0.11550503536400364,1.0678882681052355
38,2,0.11714464495241907,1.067940572198707
39,2,0.11822596859658614,1.0655675892662395
40,2,0.11883218970842331,1.0641260102236383
1,3,0.15532184621214162,1.0829927095122562
2,3,0.18419913454199752,1.029787642144901
3,3,0.15686880673395803,1.0580291701940938
4,3,0.1556525289103543,1.0618571302134752
5,3,0.14870062617522697,1.0753527043885203
6,3,0.1524850497605104,1.0845775506582043
7,3,0.14471542192749703,1.082607967474585
8,3,0.13031741409133638,1.0798435101123407
9,3,0.1311827853251957,1.0819339286186251
10,3,0.1370971442799021,1.0901686803704986
11,3,0.1397447850352313,1.086326267588662
12,3,0.13647426596321535,1.0853221903952974
13,3,0.1360922281559296,1.0851558421665017
14,3,0.13629188674930753,1.0838878314760787
15,3,0.1351069659143962,1.0838526411420015
16,3,0.13263907830067095,1.0835758680627734
17,3,0.129361954018473,1.0813520721048206
18,3,0.12563539210811206,1.0801929178831482
19,3,0.12346278279699607,1.0781073617455312
20,3,0.12228981803146509,1.0802104349551311
21,3,0.11867599222531389,1.079317557397556
22,3,0.11955433920737484,1.077554221306493
23,3,0.12208829394683257,1.0746406283337635
24,3,0.1206517600337179,1.0738418628168371
25,3,0.11841160000816159,1.0745362158508083
26,3,0.11780346449202393,1.0741310380818905
27,3,0.11874856949421621,1.0727843546154672
28,3,0.11827829380651037,1.0723325737173033
29,3,0.12176281188846896,1.0733150816430286
30,3,0.1223358454306067,1.0740813445696695
31,3,0.12290812225207924,1.073534349489207
32,3,0.12329870952862534,1.0748923109281605
33,3,0.12224068357235196,1.0730993530087236
34,3,0.12069927823016312,1.0725148678766576
35,3,0.12092670888814244,1.073827406463327
36,3,0.1191072259579461,1.0726880064740736
37,3,0.11713172663447427,1.0722920081330383
38,3,0.11766934905989716,1.0711660767379947
39,3,0.11923173663967586,1.0719678810626887
40,3,0.11884154730372745,1.0718860590853716
1,4,0.1018564933154269,1.0530978502711008
2,4,0.1040914622425515,1.070327561192018
3,4,0.12312992013297669,1.0741377222536916
4,4,0.13146394353190788,1.07619783355764
5,4,0.13782437853645238,1.0796378584772122
6,4,0.1430761966682026,1.083478121992863
7,4,0.14143995270540252,1.0789782962107677
8,4,0.13874592968829771,1.0865138713154532
9,4,0.13321753683703585,1.081573262296584
10,4,0.12995218245735687,1.0793262893901285
