portfolio_size,run,std_dev,mean_return
29,2,0.11890019230885052,1.0516687989778444
30,2,0.11734889431552759,1.05079256740278
31,2,0.11761918713621329,1.0522720883731878
32,2,0.11727036558289541,1.052189224765857
33,2,0.11600652794517985,1.0513116463909318
34,2,0.11513815966639558,1.0498960276885276
35,2,0.1162565110063034,1.0489418383921425
36,2,0.11539933506573972,1.0484977104914481
37,2,0.11533477398538225,1.048777829909437
38,2,0.11694510914335939,1.048798854138264
39,2,0.11809069092809983,1.0465131971870987
40,2,0.11870107676554924,1.045108233931226
1,3,0.15507566931581798,1.0600626377247895
2,3,0.18403006500310284,1.0104986048187463
3,3,0.1571854555423349,1.0408931045202217
4,3,0.1561150242996276,1.0456316460895851
5,3,0.14912133200934877,1.0577042482392727
6,3,0.15344904700676457,1.0663890082232965
7,3,0.14579168723982275,1.0634910107306574
8,3,0.13114500789703118,1.0604468624178485
9,3,0.13194688307026,1.0629496483242995
10,3,0.13765589803389855,1.072937583157156
11,3,0.140253931359726,1.0699232447296096
12,3,0.13708998789700796,1.0678468866331496
13,3,0.1366971480774159,1.0676925194594156
14,3,0.13676376829341372,1.0665604255595766
15,3,0.13553777976067197,1.0660900137035343
16,3,0.1330842120678115,1.065513971847819
17,3,0.12980463114284035,1.062609930604024
18,3,0.12602544161807175,1.0615695760565536
19,3,0.12384682227562462,1.059233445644498
20,3,0.12257831808690867,1.061368244176031
21,3,0.11889840941300227,1.06045746041442
22,3,0.11979701965083216,1.0585269450169006
23,3,0.12233043458505054,1.055538103082654
24,3,0.12086150527231296,1.0546225085505017
25,3,0.11860031387310511,1.055301360864149
26,3,0.11792772254899081,1.0550139884530942
27,3,0.11887475612572719,1.0535974763973672
28,3,0.11842443305445244,1.0530661257648934
29,3,0.12194600732193407,1.0539640287361614
30,3,0.12245921089944299,1.0548672481165482
31,3,0.12305690788619991,1.05404301509798
32,3,0.12341035065165118,1.0553788357698906
33,3,0.12234380205593423,1.0536003438656127
34,3,0.12082188955582272,1.0530925509042353
35,3,0.12104012842509285,1.05426030387429
36,3,0.11922048036729653,1.053023983053288
37,3,0.11722521656485116,1.05261907777293
38,3,0.11777798290898851,1.0513125791741436
39,3,0.11935282148946126,1.0522277505811368
40,3,0.11894519667577202,1.052231015634497
1,4,0.10171789699575463,1.0298358836691959
2,4,0.10388349039714836,1.0501062041565992
3,4,0.12281647884102344,1.0558692424561227
4,4,0.13080016427202534,1.0570705196158257
5,4,0.13725206439993612,1.0614841119472014
6,4,0.14276020352283264,1.065792958504013
7,4,0.14113267386772504,1.061449252695615
8,4,0.13893184078384763,1.0686901850607111
9,4,0.1334443390831197,1.0631891262115123
10,4,0.1300558424443004,1.0595884977649788
11,4,0.13069866079849954,1.0583850161975668
12,4,0.13054258483821746,1.057027359946568
13,4,0.13802132659735283,1.0544649441624536
14,4,0.1381715090882265,1.055273537780969
15,4,0.13251733103202543,1.0546055365134666
16,4,0.13187839083346692,1.053962284508529
17,4,0.12925908005722617,1.0533540381202477
18,4,0.12885931992064312,1.05028249179471
19,4,0.12924137868998337,1.0519101419357038
20,4,0.128442430160004,1.049477488006655
21,4,0.1301935769849408,1.0525174504961103
22,4,0.12558542564348238,1.0519808598431613
23,4,0.12331262770970912,1.0528317119635355
24,4,0.1253906211072242,1.053188838383435
25,4,0.1245686746168178,1.0528709836410886
